"DateTime","Ensemble ET","eeMetric ET","SSEBop ET","SIMS ET","PT-JPL ET","DisALEXI ET","geeSEBAL ET","Precip (gridMET)","Reference ET (ETo)","NDVI",
"2024-01-01 00:00:00",0.375,0.518,0.346,0.152,0.38,0.407,0.418,0,0.982,0.267,
"2024-01-02 00:00:00",0.19,0.261,0.174,0.077,0.192,0.207,0.214,0,0.498,0.266,
"2024-01-03 00:00:00",0.068,0.093,0.062,0.027,0.069,0.074,0.077,0,0.179,0.265,
"2024-01-04 00:00:00",0.102,0.139,0.092,0.041,0.103,0.112,0.117,0,0.268,0.264,
"2024-01-05 00:00:00",0.068,0.092,0.061,0.027,0.068,0.075,0.079,4.8,0.179,0.264,
"2024-01-06 00:00:00",0.102,0.138,0.091,0.04,0.102,0.112,0.119,1.768,0.268,0.263,
"2024-01-07 00:00:00",0.272,0.365,0.241,0.106,0.271,0.3,0.321,4.645,0.714,0.262,
"2024-01-08 00:00:00",0.204,0.272,0.179,0.079,0.202,0.226,0.243,31.758,0.536,0.261,
"2024-01-09 00:00:00",0.034,0.045,0.03,0.013,0.034,0.038,0.041,0,0.089,0.26,
"2024-01-10 00:00:00",0.238,0.314,0.206,0.091,0.234,0.264,0.288,0,0.625,0.259,
"2024-01-11 00:00:00",0.068,0.089,0.058,0.026,0.067,0.076,0.083,0,0.179,0.259,
"2024-01-12 00:00:00",0.034,0.044,0.029,0.013,0.033,0.038,0.042,1.171,0.089,0.258,
"2024-01-13 00:00:00",0.068,0.088,0.057,0.025,0.066,0.076,0.085,0,0.179,0.257,
"2024-01-14 00:00:00",0.098,0.126,0.082,0.036,0.095,0.11,0.123,0,0.257,0.256,
"2024-01-15 00:00:00",0.068,0.087,0.056,0.025,0.066,0.076,0.086,2.517,0.179,0.255,
"2024-01-16 00:00:00",0.135,0.173,0.112,0.049,0.131,0.153,0.173,0,0.357,0.255,
"2024-01-17 00:00:00",0.279,0.355,0.228,0.101,0.269,0.316,0.36,0,0.736,0.254,
"2024-01-18 00:00:00",0.14,0.178,0.113,0.05,0.134,0.159,0.182,0,0.368,0.253,
"2024-01-19 00:00:00",0.097,0.125,0.078,0.035,0.093,0.111,0.128,0,0.257,0.252,
"2024-01-20 00:00:00",0.087,0.113,0.07,0.031,0.083,0.1,0.116,0,0.23,0.251,
"2024-01-21 00:00:00",0.358,0.464,0.284,0.126,0.34,0.409,0.477,0,0.945,0.25,
"2024-01-22 00:00:00",0.304,0.397,0.239,0.106,0.288,0.349,0.409,10.334,0.804,0.25,
"2024-01-23 00:00:00",0.206,0.271,0.161,0.071,0.195,0.238,0.28,1.034,0.546,0.249,
"2024-01-24 00:00:00",0.202,0.267,0.157,0.069,0.191,0.234,0.277,1.957,0.536,0.248,
"2024-01-25 00:00:00",0.202,0.268,0.155,0.069,0.19,0.234,0.279,3.984,0.536,0.247,
"2024-01-26 00:00:00",0.236,0.314,0.179,0.08,0.221,0.274,0.328,0,0.625,0.246,
"2024-01-27 00:00:00",0.303,0.406,0.229,0.101,0.283,0.353,0.425,0,0.804,0.245,
"2024-01-28 00:00:00",0.505,0.68,0.378,0.168,0.47,0.589,0.714,0,1.34,0.245,
"2024-01-29 00:00:00",0.722,0.977,0.535,0.238,0.669,0.845,1.029,0,1.916,0.244,
"2024-01-30 00:00:00",0.639,0.869,0.469,0.209,0.59,0.75,0.918,0,1.697,0.243,
"2024-01-31 00:00:00",0.871,1.188,0.633,0.281,0.801,1.024,1.26,0,2.311,0.242,
"2024-02-01 00:00:00",0.932,1.278,0.672,0.299,0.854,1.098,1.359,0,2.475,0.241,
"2024-02-02 00:00:00",0.863,1.189,0.616,0.274,0.788,1.02,1.268,0.861,2.293,0.24,
"2024-02-03 00:00:00",0.234,0.325,0.166,0.074,0.213,0.278,0.347,20.003,0.623,0.24,
"2024-02-04 00:00:00",0.114,0.158,0.08,0.035,0.103,0.135,0.17,4.096,0.302,0.239,
"2024-02-05 00:00:00",0.348,0.487,0.242,0.108,0.315,0.415,0.524,0,0.927,0.238,
"2024-02-06 00:00:00",0.683,0.96,0.47,0.209,0.615,0.816,1.034,0,1.818,0.237,
"2024-02-07 00:00:00",1.22,1.723,0.831,0.37,1.095,1.461,1.862,0,3.25,0.236,
"2024-02-08 00:00:00",1.014,1.438,0.684,0.305,0.906,1.217,1.558,0,2.701,0.235,
"2024-02-09 00:00:00",0.642,0.915,0.429,0.191,0.572,0.773,0.994,0,1.711,0.235,
"2024-02-10 00:00:00",0.387,0.554,0.256,0.114,0.344,0.467,0.604,0,1.032,0.234,
"2024-02-11 00:00:00",0.408,0.587,0.267,0.119,0.361,0.494,0.641,0,1.088,0.233,
"2024-02-12 00:00:00",0.69,0.997,0.447,0.2,0.607,0.836,1.091,0,1.841,0.232,
"2024-02-13 00:00:00",1.003,1.457,0.643,0.287,0.881,1.22,1.599,0,2.679,0.231,
"2024-02-14 00:00:00",1.084,1.581,0.688,0.307,0.948,1.321,1.739,0,2.895,0.23,
"2024-02-15 00:00:00",0.544,0.797,0.341,0.153,0.474,0.664,0.879,0.172,1.453,0.23,
"2024-02-16 00:00:00",0.145,0.213,0.09,0.04,0.126,0.178,0.236,2.967,0.387,0.229,
"2024-02-17 00:00:00",0.543,0.803,0.334,0.149,0.47,0.667,0.89,0,1.453,0.228,
