Date,ET_mm_ensemble,ET_mm_eemetric,ET_mm_ssebop,ET_mm_sims,ET_mm_ptjpl,ET_mm_disalexi,ET_mm_geesebal,precip_mm_gridmet,ETo_mm_gridmet,NDVI
2021-01-01T00:00:00Z,1.333,0.144,0.453,0.089,0.581,1.333,1.333,0.492,0.952,0.217
2021-01-02T00:00:00Z,1.016,0.103,0.349,0.066,0.447,1.016,1.016,0,0.725,0.216
2021-01-03T00:00:00Z,1.751,0.168,0.609,0.112,0.779,1.751,1.751,0,1.251,0.214
2021-01-04T00:00:00Z,1.818,0.163,0.64,0.113,0.817,1.818,1.818,0,1.299,0.212
2021-01-05T00:00:00Z,2.5,0.209,0.89,0.151,1.135,2.5,2.5,0,1.786,0.21
2021-01-06T00:00:00Z,1.375,0.107,0.495,0.081,0.63,1.375,1.375,0.867,0.982,0.208
2021-01-07T00:00:00Z,0.625,0.045,0.228,0.036,0.289,0.625,0.625,0,0.447,0.206
2021-01-08T00:00:00Z,0.965,0.041,0.23,0.035,0.292,1.203,0.929,0,0.447,0.205
2021-01-09T00:00:00Z,0.75,0.045,0.262,0.043,0.328,0.75,0.75,0,0.536,0.207
2021-01-10T00:00:00Z,0.64,0.034,0.211,0.038,0.26,0.64,0.64,0,0.457,0.21
2021-01-11T00:00:00Z,1.875,0.089,0.579,0.116,0.704,1.875,1.875,0,1.34,0.212
2021-01-12T00:00:00Z,2.258,0.103,0.718,0.158,0.857,2.485,2.153,0,1.775,0.215
2021-01-13T00:00:00Z,2.251,0.106,0.807,0.197,0.943,2.868,2.135,0,2.143,0.217
2021-01-14T00:00:00Z,1.857,0.092,0.782,0.213,0.891,2.394,1.748,0,2.243,0.22
2021-01-15T00:00:00Z,0.818,0.044,0.433,0.132,0.478,1.074,0.759,0,1.35,0.223
2021-01-16T00:00:00Z,0.488,0.031,0.373,0.128,0.396,0.667,0.439,0,1.272,0.225
2021-01-17T00:00:00Z,0.261,0.025,0.429,0.168,0.434,0.409,0.208,0,1.618,0.228
2021-01-18T00:00:00Z,0.221,0.051,0.356,0.139,0.368,0.346,0.175,0,1.35,0.227
2021-01-19T00:00:00Z,0.237,0.085,0.374,0.146,0.396,0.371,0.187,0,1.429,0.227
2021-01-20T00:00:00Z,0.391,0.19,0.604,0.236,0.654,0.612,0.308,0,2.322,0.226
2021-01-21T00:00:00Z,0.29,0.176,0.439,0.172,0.485,0.453,0.227,0,1.697,0.226
2021-01-22T00:00:00Z,0.172,0.125,0.255,0.1,0.288,0.269,0.134,0,0.993,0.225
2021-01-23T00:00:00Z,0.225,0.19,0.327,0.128,0.378,0.351,0.175,0.586,1.281,0.225
2021-01-24T00:00:00Z,0.159,0.152,0.227,0.089,0.267,0.248,0.123,5.469,0.893,0.224
2021-01-25T00:00:00Z,0.081,0.086,0.113,0.044,0.136,0.125,0.062,14.775,0.447,0.224
2021-01-26T00:00:00Z,0.098,0.115,0.134,0.053,0.165,0.152,0.075,3.769,0.536,0.223
2021-01-27T00:00:00Z,0.083,0.106,0.111,0.044,0.139,0.129,0.063,0.049,0.447,0.223
2021-01-28T00:00:00Z,0.177,0.244,0.233,0.091,0.298,0.274,0.135,0,0.941,0.222
2021-01-29T00:00:00Z,0.301,0.443,0.387,0.152,0.506,0.465,0.228,0,1.578,0.222
2021-01-30T00:00:00Z,0.31,0.487,0.392,0.154,0.523,0.48,0.234,9.312,1.608,0.221
2021-01-31T00:00:00Z,0.19,0.316,0.235,0.093,0.32,0.293,0.143,0,0.971,0.221
2021-02-01T00:00:00Z,0.211,0.37,0.256,0.101,0.356,0.326,0.158,0,1.066,0.22
2021-02-02T00:00:00Z,0.379,0.699,0.452,0.178,0.641,0.585,0.283,0,1.893,0.22
2021-02-03T00:00:00Z,0.598,1.153,0.699,0.276,1.011,0.922,0.445,0,2.948,0.219
2021-02-04T00:00:00Z,0.221,0.445,0.254,0.1,0.374,0.341,0.164,0,1.077,0.219
2021-02-05T00:00:00Z,0.304,0.638,0.343,0.135,0.515,0.468,0.225,0,1.465,0.218
2021-02-06T00:00:00Z,0.122,0.266,0.135,0.053,0.207,0.188,0.09,0.867,0.581,0.218
2021-02-07T00:00:00Z,0.082,0.186,0.089,0.035,0.14,0.127,0.061,0,0.387,0.217
2021-02-08T00:00:00Z,0.125,0.292,0.133,0.053,0.212,0.192,0.092,0,0.581,0.217
2021-02-09T00:00:00Z,0.15,0.361,0.157,0.062,0.255,0.23,0.11,0,0.69,0.216
2021-02-10T00:00:00Z,0.168,0.417,0.172,0.068,0.285,0.257,0.122,0,0.763,0.216
2021-02-11T00:00:00Z,0.108,0.275,0.109,0.043,0.183,0.165,0.078,0,0.484,0.215
2021-02-12T00:00:00Z,0.109,0.286,0.108,0.043,0.185,0.167,0.079,0,0.484,0.215
2021-02-13T00:00:00Z,0.135,0.363,0.131,0.052,0.229,0.206,0.097,0,0.593,0.214
2021-02-14T00:00:00Z,0.081,0.225,0.078,0.031,0.139,0.124,0.059,0.655,0.354,0.214
2021-02-15T00:00:00Z,0.05,0.142,0.047,0.019,0.086,0.077,0.036,1.951,0.217,0.214
2021-02-16T00:00:00Z,0.091,0.263,0.084,0.033,0.155,0.139,0.065,0.21,0.387,0.213
2021-02-17T00:00:00Z,0.161,0.475,0.145,0.058,0.274,0.245,0.115,0,0.678,0.213
2021-02-18T00:00:00Z,0.209,0.039,0.185,0.074,0.356,0.318,0.149,0,0.872,0.212
2021-02-19T00:00:00Z,0.393,0.069,0.343,0.136,0.671,0.599,0.279,0,1.624,0.212
2021-02-20T00:00:00Z,0.573,0.094,0.491,0.195,0.979,0.873,0.406,0,2.345,0.211
2021-02-21T00:00:00Z,0.472,0.072,0.398,0.158,0.808,0.72,0.334,0,1.915,0.211
2021-02-22T00:00:00Z,0.909,0.128,0.752,0.299,1.555,1.384,0.642,0,3.649,0.21
2021-02-23T00:00:00Z,1.097,0.143,0.891,0.355,1.877,1.669,0.772,0,4.359,0.21
2021-02-24T00:00:00Z,0.08,0.009,0.064,0.025,0.136,0.121,0.056,0,0.313,0.209
2021-02-25T00:00:00Z,0.099,0.011,0.078,0.031,0.17,0.151,0.07,0,0.387,0.209
2021-02-26T00:00:00Z,0.229,0.022,0.176,0.07,0.392,0.347,0.16,0,0.883,0.208
2021-02-27T00:00:00Z,0.453,0.04,0.343,0.137,0.776,0.687,0.316,0,1.732,0.208
2021-02-28T00:00:00Z,1.01,0.079,0.751,0.3,1.733,1.534,0.704,0,3.83,0.207
2021-03-01T00:00:00Z,1.046,0.071,0.764,0.306,1.795,1.587,0.727,0,3.928,0.207
2021-03-02T00:00:00Z,0.904,0.053,0.649,0.26,1.553,1.372,0.627,0,3.367,0.206
2021-03-03T00:00:00Z,0.834,0.041,0.588,0.236,1.432,1.264,0.577,0,3.076,0.206
2021-03-04T00:00:00Z,0.844,0.033,0.585,0.235,1.451,1.279,0.583,0,3.086,0.205
2021-03-05T00:00:00Z,0.642,0.019,0.437,0.176,1.104,0.973,0.443,0,2.327,0.205
2021-03-06T00:00:00Z,0.937,0.02,0.627,0.252,1.612,1.419,0.645,0,3.367,0.204
2021-03-07T00:00:00Z,1.234,0.026,0.848,0.354,2.184,1.877,0.848,0,4.542,0.207
2021-03-08T00:00:00Z,1.316,0.027,0.929,0.402,2.398,2.01,0.902,0,4.967,0.209
2021-03-09T00:00:00Z,1.387,0.029,1.007,0.452,2.604,2.13,0.949,0,5.373,0.212
2021-03-10T00:00:00Z,1.132,0.024,0.845,0.392,2.19,1.746,0.772,0,4.501,0.214
2021-03-11T00:00:00Z,0.618,0.013,0.475,0.228,1.234,0.959,0.421,0,2.526,0.217
2021-03-12T00:00:00Z,0.267,0.006,0.212,0.105,0.55,0.417,0.181,9.079,1.122,0.219
2021-03-13T00:00:00Z,0.209,0.004,0.171,0.087,0.445,0.328,0.142,14.075,0.904,0.222
2021-03-14T00:00:00Z,0.206,0.004,0.173,0.091,0.453,0.325,0.139,8.028,0.916,0.224
2021-03-15T00:00:00Z,0.419,0.009,0.364,0.197,0.954,0.665,0.282,0.275,1.922,0.227
2021-03-16T00:00:00Z,0.465,0.009,0.418,0.232,1.097,0.744,0.312,20.47,2.203,0.229
2021-03-17T00:00:00Z,0.1,0.002,0.093,0.053,0.245,0.161,0.067,8.652,0.49,0.232
2021-03-18T00:00:00Z,0.456,0.009,0.44,0.257,1.158,0.74,0.304,0,2.307,0.234
2021-03-19T00:00:00Z,0.456,0.009,0.456,0.274,1.204,0.746,0.303,0,2.389,0.237
2021-03-20T00:00:00Z,0.668,0.013,0.694,0.427,1.836,1.103,0.441,0,3.628,0.239
2021-03-21T00:00:00Z,0.76,0.015,0.821,0.517,2.175,1.266,0.499,0,4.282,0.242
2021-03-22T00:00:00Z,0.362,0.022,0.375,0.229,0.961,0.592,0.246,5.965,2.018,0.236
2021-03-23T00:00:00Z,0.254,0.026,0.252,0.149,0.624,0.409,0.178,4.984,1.403,0.23
2021-03-24T00:00:00Z,0.367,0.051,0.348,0.199,0.829,0.581,0.264,0,2.007,0.224
2021-03-25T00:00:00Z,0.161,0.029,0.146,0.08,0.333,0.251,0.12,0.126,0.874,0.218
