Date,precip_mm,precip_mm_source,ETo_mm,ETo_mm_source,ET_mm_ensemble
2021-01-01,0,KNZ_AWE012,0.4,KNZ_AET01,1.333
2021-01-02,0,KNZ_AWE012,0.8,KNZ_AET01,1.016
2021-01-03,0,KNZ_AWE012,1.2,KNZ_AET01,1.751
2021-01-04,0,KNZ_AWE012,1.5,KNZ_AET01,1.818
2021-01-05,0,KNZ_AWE012,1.7,KNZ_AET01,2.5
2021-01-06,0,KNZ_AWE012,0.5,KNZ_AET01,1.375
2021-01-07,0.5,KNZ_AWE012,0.6,KNZ_AET01,0.625
2021-01-08,0,KNZ_AWE012,0.7,KNZ_AET01,0.965
2021-01-09,0,KNZ_AWE012,0.4,KNZ_AET01,0.75
2021-01-10,0,KNZ_AWE012,0.8,KNZ_AET01,0.64
2021-01-11,0,KNZ_AWE012,1.6,KNZ_AET01,1.875
2021-01-12,0,KNZ_AWE012,1.7,KNZ_AET01,2.258
2021-01-13,0,KNZ_AWE012,1.4,KNZ_AET01,2.251
2021-01-14,0,KNZ_AWE012,2.5,KNZ_AET01,1.857
2021-01-15,0,KNZ_AWE012,1,KNZ_AET01,0.818
2021-01-16,0,KNZ_AWE012,1,KNZ_AET01,0.488
2021-01-17,0,KNZ_AWE012,1.7,KNZ_AET01,0.261
2021-01-18,0,KNZ_AWE012,1.8,KNZ_AET01,0.221
2021-01-19,0,KNZ_AWE012,1.6,KNZ_AET01,0.237
2021-01-20,0,KNZ_AWE012,1.4,KNZ_AET01,0.391
2021-01-21,0,KNZ_AWE012,1.8,KNZ_AET01,0.29
2021-01-22,0,KNZ_AWE012,1.2,KNZ_AET01,0.172
2021-01-23,0,KNZ_AWE012,0,KNZ_AET01,0.225
2021-01-24,0.8,KNZ_AWE012,0.4,KNZ_AET01,0.159
2021-01-25,16.3,KNZ_AWE012,0,KNZ_AET01,0.081
2021-01-26,1.3,KNZ_AWE012,0.3,KNZ_AET01,0.098
2021-01-27,2,KNZ_AWE012,0.6,KNZ_AET01,0.083
2021-01-28,0,KNZ_AWE012,0.7,KNZ_AET01,0.177
2021-01-29,0,KNZ_AWE012,1.4,KNZ_AET01,0.301
2021-01-30,2.8,KNZ_AWE012,0.2,KNZ_AET01,0.31
2021-01-31,0,KNZ_AWE012,0.3,KNZ_AET01,0.19
2021-02-01,0,KNZ_AWE012,0.8,KNZ_AET01,0.211
2021-02-02,0,KNZ_AWE012,1.8,KNZ_AET01,0.379
2021-02-03,0,KNZ_AWE012,2.6,KNZ_AET01,0.598
2021-02-04,0,KNZ_AWE012,1.4,KNZ_AET01,0.221
2021-02-05,0,KNZ_AWE012,1.8,KNZ_AET01,0.304
2021-02-06,0.5,KNZ_AWE012,0.2,KNZ_AET01,0.122
2021-02-07,0.3,KNZ_AWE012,0,KNZ_AET01,0.082
2021-02-08,0,KNZ_AWE012,0,KNZ_AET01,0.125
2021-02-09,0,KNZ_AWE012,0.6,KNZ_AET01,0.15
2021-02-10,0,KNZ_AWE012,0,KNZ_AET01,0.168
2021-02-11,0,KNZ_AWE012,0.4,KNZ_AET01,0.108
2021-02-12,0,KNZ_AWE012,0.1,KNZ_AET01,0.109
2021-02-13,0,KNZ_AWE012,0.6,KNZ_AET01,0.135
2021-02-14,0.8,KNZ_AWE012,0.2,KNZ_AET01,0.081
2021-02-15,1,KNZ_AWE012,0,KNZ_AET01,0.05
2021-02-16,0,KNZ_AWE012,0.8,KNZ_AET01,0.091
2021-02-17,0,KNZ_AWE012,1.1,KNZ_AET01,0.161
2021-02-18,0,KNZ_AWE012,1.3,KNZ_AET01,0.209
2021-02-19,0,KNZ_AWE012,1.5,KNZ_AET01,0.393
2021-02-20,0,KNZ_AWE012,2.4,KNZ_AET01,0.573
2021-02-21,0,KNZ_AWE012,0.9,KNZ_AET01,0.472
2021-02-22,0,KNZ_AWE012,2.7,KNZ_AET01,0.909
2021-02-23,0,KNZ_AWE012,3.1,KNZ_AET01,1.097
2021-02-24,0,KNZ_AWE012,2.1,KNZ_AET01,0.08
2021-02-25,0,KNZ_AWE012,1.1,KNZ_AET01,0.099
2021-02-26,0,KNZ_AWE012,2.5,KNZ_AET01,0.229
2021-02-27,0,KNZ_AWE012,3,KNZ_AET01,0.453
2021-02-28,0,KNZ_AWE012,2.4,KNZ_AET01,1.01
2021-03-01,0,KNZ_AWE012,2.7,KNZ_AET01,1.046
2021-03-02,0,KNZ_AWE012,3.2,KNZ_AET01,0.904
2021-03-03,0,KNZ_AWE012,3.5,KNZ_AET01,0.834
2021-03-04,0,KNZ_AWE012,3.3,KNZ_AET01,0.844
2021-03-05,0,KNZ_AWE012,2.6,KNZ_AET01,0.642
2021-03-06,0,KNZ_AWE012,3.3,KNZ_AET01,0.937
2021-03-07,0,KNZ_AWE012,3.9,KNZ_AET01,1.234
2021-03-08,0,KNZ_AWE012,3.4,KNZ_AET01,1.316
2021-03-09,0,KNZ_AWE012,4.9,KNZ_AET01,1.387
2021-03-10,0,KNZ_AWE012,4.6,KNZ_AET01,1.132
2021-03-11,0,KNZ_AWE012,3.2,KNZ_AET01,0.618
2021-03-12,7.9,KNZ_AWE012,0.1,KNZ_AET01,0.267
2021-03-13,10.7,KNZ_AWE012,0.6,KNZ_AET01,0.209
2021-03-14,4.3,KNZ_AWE012,1.1,KNZ_AET01,0.206
2021-03-15,0,KNZ_AWE012,1.3,KNZ_AET01,0.419
2021-03-16,0,KNZ_AWE012,1.9,KNZ_AET01,0.465
2021-03-17,27.4,KNZ_AWE012,0,KNZ_AET01,0.1
2021-03-18,0,KNZ_AWE012,2.5,KNZ_AET01,0.456
2021-03-19,0,KNZ_AWE012,3.6,KNZ_AET01,0.456
2021-03-20,0,KNZ_AWE012,4.2,KNZ_AET01,0.668
2021-03-21,0,KNZ_AWE012,4.2,KNZ_AET01,0.76
2021-03-22,4.8,KNZ_AWE012,0.9,KNZ_AET01,0.362
2021-03-23,1.3,KNZ_AWE012,2.5,KNZ_AET01,0.254
2021-03-24,0.3,KNZ_AWE012,1.2,KNZ_AET01,0.367
2021-03-25,0.5,KNZ_AWE012,0.5,KNZ_AET01,0.161
2021-03-26,21.8,KNZ_AWE012,2.1,KNZ_AET01,0.44
2021-03-27,1,KNZ_AWE012,2,KNZ_AET01,0.395
2021-03-28,0,KNZ_AWE012,4.1,KNZ_AET01,0.593
2021-03-29,0,KNZ_AWE012,4.7,KNZ_AET01,1.261
2021-03-30,0,KNZ_AWE012,3.7,KNZ_AET01,0.602
2021-03-31,0,KNZ_AWE012,3.4,KNZ_AET01,0.597
2021-04-01,0,KNZ_AWE012,3.6,KNZ_AET01,0.694
2021-04-02,0,KNZ_AWE012,4.5,KNZ_AET01,1.309
2021-04-03,0,KNZ_AWE012,4.5,KNZ_AET01,1.129
2021-04-04,0,KNZ_AWE012,5.5,KNZ_AET01,1.371
2021-04-05,0,KNZ_AWE012,5.9,KNZ_AET01,1.376
2021-04-06,6.9,KNZ_AWE012,2.3,KNZ_AET01,0.742
2021-04-07,9.9,KNZ_AWE012,1.3,KNZ_AET01,0.293
2021-04-08,12.2,KNZ_AWE012,2.8,KNZ_AET01,1.03
2021-04-09,7.1,KNZ_AWE012,3.8,KNZ_AET01,0.866
2021-04-10,1,KNZ_AWE012,3.8,KNZ_AET01,0.927
2021-04-11,0,KNZ_AWE012,5.4,KNZ_AET01,1.222
2021-04-12,0,KNZ_AWE012,1.8,KNZ_AET01,1.033
2021-04-13,0,KNZ_AWE012,3.7,KNZ_AET01,1.027
2021-04-14,0,KNZ_AWE012,3.8,KNZ_AET01,0.967
2021-04-15,0,KNZ_AWE012,3.5,KNZ_AET01,0.819
2021-04-16,8.6,KNZ_AWE012,0.3,KNZ_AET01,0.352
2021-04-17,0,KNZ_AWE012,1.2,KNZ_AET01,0.663
2021-04-18,0,KNZ_AWE012,3.6,KNZ_AET01,1.044
2021-04-19,0,KNZ_AWE012,3.1,KNZ_AET01,0.724
2021-04-20,6.4,KNZ_AWE012,2.8,KNZ_AET01,0.805
2021-04-21,0,KNZ_AWE012,3.6,KNZ_AET01,0.818
2021-04-22,0.8,KNZ_AWE012,2.9,KNZ_AET01,0.886
2021-04-23,1.3,KNZ_AWE012,0.2,KNZ_AET01,0.555
2021-04-24,0,KNZ_AWE012,4.5,KNZ_AET01,1.166
2021-04-25,0,KNZ_AWE012,5.6,KNZ_AET01,1.701
2021-04-26,0,KNZ_AWE012,6.6,KNZ_AET01,2.19
2021-04-27,0,KNZ_AWE012,4.4,KNZ_AET01,1.526
2021-04-28,1,KNZ_AWE012,2.1,KNZ_AET01,0.859
2021-04-29,0,KNZ_AWE012,5.5,KNZ_AET01,1.542
2021-04-30,0,KNZ_AWE012,6.1,KNZ_AET01,1.691
2021-05-01,0,KNZ_AWE012,6.8,KNZ_AET01,1.936
2021-05-02,0,KNZ_AWE012,3.2,KNZ_AET01,1.34
2021-05-03,0.5,KNZ_AWE012,4.9,KNZ_AET01,0.934
2021-05-04,1,KNZ_AWE012,4.9,KNZ_AET01,1.425
2021-05-05,0,KNZ_AWE012,3.4,KNZ_AET01,1.417
2021-05-06,0,KNZ_AWE012,4.8,KNZ_AET01,1.756
2021-05-07,0,KNZ_AWE012,2.4,KNZ_AET01,1.638
2021-05-08,15,KNZ_AWE012,5.5,KNZ_AET01,2.307
2021-05-09,6.9,KNZ_AWE012,1.1,KNZ_AET01,0.744
